Timestamp,Marker,CPU_Usage,Memory_Usage
2024-08-19 18:39:39.576678,-,0.0,93.83203125
2024-08-19 18:39:39.677383,-,96.3,114.33203125
2024-08-19 18:39:39.778079,-,99.3,134.33203125
2024-08-19 18:39:39.881202,-,127.6,150.765625
2024-08-19 18:39:39.981865,run_inference,206.0,98.1875
2024-08-19 18:39:40.082495,run_inference,99.4,100.4375
2024-08-19 18:39:40.183281,-,119.2,118.9375
2024-08-19 18:39:40.283942,-,89.3,140.0625
2024-08-19 18:39:40.384849,-,99.3,195.6875
2024-08-19 18:39:40.485495,run_inference,248.0,102.828125
2024-08-19 18:39:40.586063,run_inference,99.4,102.828125
2024-08-19 18:39:40.686727,-,89.5,118.328125
2024-08-19 18:39:40.787346,-,109.2,139.578125
2024-08-19 18:39:40.888295,-,99.3,195.328125
2024-08-19 18:39:40.989154,run_inference,237.8,103.03515625
2024-08-19 18:39:41.095712,run_inference,103.2,103.03515625
2024-08-19 18:39:41.196346,-,99.2,117.03515625
2024-08-19 18:39:41.296979,-,109.3,138.28515625
2024-08-19 18:39:41.397957,-,89.3,188.03515625
2024-08-19 18:39:41.498566,run_inference,247.9,102.96484375
2024-08-19 18:39:41.599174,run_inference,99.4,102.96484375
2024-08-19 18:39:41.699801,-,99.4,116.58984375
2024-08-19 18:39:41.800387,-,99.4,138.08984375
2024-08-19 18:39:41.901348,-,99.3,188.08984375
2024-08-19 18:39:42.001951,run_inference,237.9,102.890625
2024-08-19 18:39:42.102526,run_inference,99.5,102.890625
2024-08-19 18:39:42.203232,-,99.4,116.640625
2024-08-19 18:39:42.303791,-,99.3,137.765625
2024-08-19 18:39:42.404766,-,109.2,186.890625
2024-08-19 18:39:42.505373,run_inference,237.9,102.95703125
2024-08-19 18:39:42.605957,run_inference,99.4,102.95703125
2024-08-19 18:39:42.706598,-,99.4,116.33203125
2024-08-19 18:39:42.807275,-,99.3,137.58203125
2024-08-19 18:39:42.908463,-,109.2,178.58203125
2024-08-19 18:39:43.009237,run_inference,207.7,102.8828125
2024-08-19 18:39:43.109877,run_inference,99.2,102.8828125
2024-08-19 18:39:43.210508,-,109.3,112.1328125
2024-08-19 18:39:43.311107,-,99.4,133.5078125
2024-08-19 18:39:43.412044,-,99.3,168.8828125
2024-08-19 18:39:43.512732,run_inference,237.9,102.84765625
2024-08-19 18:39:43.613327,run_inference,99.4,102.84765625
2024-08-19 18:39:43.714003,-,99.4,111.72265625
2024-08-19 18:39:43.814642,-,109.3,132.97265625
2024-08-19 18:39:43.915654,-,99.2,166.34765625
2024-08-19 18:39:44.016333,run_inference,237.9,102.86328125
2024-08-19 18:39:44.116924,run_inference,99.4,102.86328125
2024-08-19 18:39:44.217603,-,109.3,111.48828125
2024-08-19 18:39:44.318151,-,89.4,132.98828125
2024-08-19 18:39:44.419186,-,99.3,168.11328125
2024-08-19 18:39:44.524935,run_inference,227.0,102.88671875
2024-08-19 18:39:44.625574,run_inference,99.0,102.88671875
